


Brokerage

Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 09/01/2022, YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,1,360.76,,,,-360.76,09/06/2022
 09/01/2022, YOU BOUGHT PIMCO DYNAMIC INCOME FD COM USD0.00001 (PDI) (Cash), PDI, PIMCO DYNAMIC INCOME FD COM USD0.00001,Cash,1,21.03,,,,-21.03,09/06/2022
 09/01/2022, YOU BOUGHT ISHARES TRUST CORE DIVID GWTH (DGRO) (Cash), DGRO, ISHARES TRUST CORE DIVID GWTH,Cash,1,48.48,,,,-48.48,09/06/2022
 09/01/2022, YOU BOUGHT ISHARES TR PFD AND INCM SEC (PFF) (Cash), PFF, ISHARES TR PFD AND INCM SEC,Cash,1,32.73,,,,-32.73,09/06/2022
 09/01/2022, YOU BOUGHT ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,1,63.42,,,,-63.42,09/06/2022
 09/01/2022, YOU BOUGHT ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,1,63.93,,,,-63.93,09/06/2022
 09/01/2022, YOU BOUGHT INVESCO EXCH TRADED FD TR II S&P500 HDL (SPHD) (Cash), SPHD, INVESCO EXCH TRADED FD TR II S&P500 HDL,Cash,1,43.8,,,,-43.8,09/06/2022
 09/01/2022, YOU BOUGHT FIDELITY HIGH DIVIDEND ETF (FDVV) (Cash), FDVV, FIDELITY HIGH DIVIDEND ETF,Cash,1,36.82,,,,-36.82,09/06/2022
 09/01/2022, YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY IN (FTEC) (Cash), FTEC, FIDELITY MSCI INFORMATION TECHNOLOGY IN,Cash,1,100.5,,,,-100.5,09/06/2022
 09/01/2022, YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY IN (FTEC) (Cash), FTEC, FIDELITY MSCI INFORMATION TECHNOLOGY IN,Cash,1,101.85,,,,-101.85,09/06/2022
 08/31/2022, REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,43.53,1,,,,-43.53,
 08/31/2022, DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash), SPAXX, FIDELITY GOVERNMENT MONEY MARKET,Cash,,,,,,43.53,
 08/31/2022, DIVIDEND RECEIVED COHEN &STEERS QUALITY INCOME COM (RQI) (Cash), RQI, COHEN &STEERS QUALITY INCOME COM,Cash,,,,,,4.08,
 08/31/2022, DIVIDEND RECEIVED BLACKROCK CORPORATE HIGH YIELD INC COM (HYT) (Cash), HYT, BLACKROCK CORPORATE HIGH YIELD INC COM ,Cash,,,,,,5.84,
 08/31/2022, DIVIDEND RECEIVED BLACKROCK ENHANCED EQUITY DIVI COM (BDJ) (Cash), BDJ, BLACKROCK ENHANCED EQUITY DIVI COM,Cash,,,,,,4.89,
 08/31/2022, YOU BOUGHT VERIZON COMMUNICATIONS INC (VZ) (Cash), VZ, VERIZON COMMUNICATIONS INC,Cash,1,42.18,,,,-42.18,09/02/2022
 08/31/2022, YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,1,364.2,,,,-364.2,09/02/2022
 08/31/2022, YOU BOUGHT ISHARES TR PFD AND INCM SEC (PFF) (Cash), PFF, ISHARES TR PFD AND INCM SEC,Cash,1,33.36,,,,-33.36,09/02/2022
 08/31/2022, YOU BOUGHT ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,1,64.5,,,,-64.5,09/02/2022
 08/31/2022, YOU BOUGHT ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,1,64.78,,,,-64.78,09/02/2022
 08/31/2022, YOU BOUGHT FIDELITY HIGH DIVIDEND ETF (FDVV) (Cash), FDVV, FIDELITY HIGH DIVIDEND ETF,Cash,1,37.5,,,,-37.5,09/02/2022
 08/31/2022, YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY IN (FTEC) (Cash), FTEC, FIDELITY MSCI INFORMATION TECHNOLOGY IN,Cash,1,103.65,,,,-103.65,09/02/2022
 08/31/2022, YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY IN (FTEC) (Cash), FTEC, FIDELITY MSCI INFORMATION TECHNOLOGY IN,Cash,1,103.86,,,,-103.86,09/02/2022
 08/31/2022, YOU BOUGHT BLACKROCK CORPORATE HIGH YIELD INC COM (HYT) (Cash), HYT, BLACKROCK CORPORATE HIGH YIELD INC COM ,Cash,2,9.58,,,,-19.16,09/02/2022
 08/30/2022, YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,1,366.82,,,,-366.82,09/01/2022
 08/30/2022, YOU BOUGHT ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,1,65.32,,,,-65.32,09/01/2022
 08/30/2022, YOU BOUGHT FIDELITY HIGH DIVIDEND ETF (FDVV) (Cash), FDVV, FIDELITY HIGH DIVIDEND ETF,Cash,1,37.62,,,,-37.62,09/01/2022
 08/30/2022, YOU BOUGHT FIDELITY HIGH DIVIDEND ETF (FDVV) (Cash), FDVV, FIDELITY HIGH DIVIDEND ETF,Cash,1,37.94,,,,-37.94,09/01/2022
 08/30/2022, YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY IN (FTEC) (Cash), FTEC, FIDELITY MSCI INFORMATION TECHNOLOGY IN,Cash,1,104.1,,,,-104.1,09/01/2022
 08/29/2022, YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,1,369.06,,,,-369.06,08/31/2022
 08/29/2022, YOU BOUGHT ISHARES TRUST CORE DIVID GWTH (DGRO) (Cash), DGRO, ISHARES TRUST CORE DIVID GWTH,Cash,1,49.56,,,,-49.56,08/31/2022
 08/29/2022, YOU BOUGHT ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,1,66.03,,,,-66.03,08/31/2022
 08/29/2022, YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY IN (FTEC) (Cash), FTEC, FIDELITY MSCI INFORMATION TECHNOLOGY IN,Cash,1,105,,,,-105,08/31/2022
 08/26/2022, DIVIDEND RECEIVED INVESCO EXCH TRADED FD TR II S&P500 HDL (SPHD) (Cash), SPHD, INVESCO EXCH TRADED FD TR II S&P500 HDL,Cash,,,,,,24.88,
 08/26/2022, YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,1,372.93,,,,-372.93,08/30/2022
 08/26/2022, YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,1,378.06,,,,-378.06,08/30/2022
 08/26/2022, YOU BOUGHT ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,1,66.66,,,,-66.66,08/30/2022
 08/26/2022, YOU BOUGHT ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,1,67.92,,,,-67.92,08/30/2022
 08/26/2022, YOU SOLD ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,-1,69.1,,0.01,,69.09,08/30/2022
 08/26/2022, YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY IN (FTEC) (Cash), FTEC, FIDELITY MSCI INFORMATION TECHNOLOGY IN,Cash,1,107.7,,,,-107.7,08/30/2022
 08/25/2022, YOU SOLD FIDELITY MSCI ENERGY INDEX ETF (FENY) (Cash), FENY, FIDELITY MSCI ENERGY INDEX ETF,Cash,-1,23.02,,0.01,,23.01,08/29/2022
 08/24/2022, YOU BOUGHT VERIZON COMMUNICATIONS INC (VZ) (Cash), VZ, VERIZON COMMUNICATIONS INC,Cash,1,43.43,,,,-43.43,08/26/2022
 08/24/2022, YOU BOUGHT ISHARES TRUST CORE DIVID GWTH (DGRO) (Cash), DGRO, ISHARES TRUST CORE DIVID GWTH,Cash,1,50.73,,,,-50.73,08/26/2022
 08/24/2022, YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY IN (FTEC) (Cash), FTEC, FIDELITY MSCI INFORMATION TECHNOLOGY IN,Cash,1,108.96,,,,-108.96,08/26/2022
 08/24/2022, YOU SOLD FIDELITY MSCI ENERGY INDEX ETF (FENY) (Cash), FENY, FIDELITY MSCI ENERGY INDEX ETF,Cash,-1,22.84,,0.01,,22.83,08/26/2022
 08/23/2022, YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,1,379.13,,,,-379.13,08/25/2022
 08/23/2022, YOU BOUGHT ISHARES TRUST CORE DIVID GWTH (DGRO) (Cash), DGRO, ISHARES TRUST CORE DIVID GWTH,Cash,1,50.91,,,,-50.91,08/25/2022
 08/23/2022, YOU BOUGHT ISHARES TR PFD AND INCM SEC (PFF) (Cash), PFF, ISHARES TR PFD AND INCM SEC,Cash,1,33.54,,,,-33.54,08/25/2022
 08/23/2022, YOU BOUGHT ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,1,67.72,,,,-67.73,08/25/2022
 08/22/2022, YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,1,382.75,,,,-382.75,08/24/2022
 08/22/2022, YOU BOUGHT ISHARES TR PFD AND INCM SEC (PFF) (Cash), PFF, ISHARES TR PFD AND INCM SEC,Cash,1,33.99,,,,-33.99,08/24/2022
 08/22/2022, YOU BOUGHT ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,1,68.1,,,,-68.1,08/24/2022
 08/22/2022, YOU BOUGHT FIDELITY MSCI INFORMATION TECHNOLOGY IN (FTEC) (Cash), FTEC, FIDELITY MSCI INFORMATION TECHNOLOGY IN,Cash,1,110.22,,,,-110.22,08/24/2022
 08/19/2022, YOU BOUGHT VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,1,387.33,,,,-387.33,08/23/2022
 08/17/2022, MERGER MER PAYOUT #REORCM0051439020000 ISHARES INC MSCI RUSSIA ETF *EXCHANGED (46434G798) (Cash), 46434G798, ISHARES INC MSCI RUSSIA ETF *EXCHANGED ,Cash,-4,0.03,,,,0.13,
 08/17/2022, MERGER MER FROM 46434G798#REOR M0051439020002 ETF ISHARES MSCI RUSSIA BE ESCROW (464ESC011) (Cash), 464ESC011, ETF ISHARES MSCI RUSSIA BE ESCROW,Cash,4,,,,,,
 08/16/2022, YOU SOLD ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,-1,71.53,,0.01,,71.52,08/18/2022
 08/15/2022, YOU SOLD VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,-1,393.5,,0.01,,393.49,08/17/2022
 08/15/2022, YOU SOLD FIDELITY MSCI INFORMATION TECHNOLOGY IN (FTEC) (Cash), FTEC, FIDELITY MSCI INFORMATION TECHNOLOGY IN,Cash,-1,115.45,,0.01,,115.44,08/17/2022
 08/12/2022, YOU SOLD VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,-1,390.04,,0.01,,390.03,08/16/2022
 08/12/2022, YOU SOLD ISHARES TRUST CORE DIVID GWTH (DGRO) (Cash), DGRO, ISHARES TRUST CORE DIVID GWTH,Cash,-1,52.02,,0.01,,52.01,08/16/2022
 08/12/2022, YOU SOLD ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,-1,70.18,,0.01,,70.17,08/16/2022
 08/12/2022, YOU SOLD ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,-1,70.9,,0.01,,70.89,08/16/2022
 08/12/2022, YOU SOLD INVESCO EXCH TRADED FD TR II S&P500 HDL (SPHD) (Cash), SPHD, INVESCO EXCH TRADED FD TR II S&P500 HDL,Cash,-1,46.42,,0.01,,46.41,08/16/2022
 08/12/2022, YOU SOLD FIDELITY MSCI INFORMATION TECHNOLOGY IN (FTEC) (Cash), FTEC, FIDELITY MSCI INFORMATION TECHNOLOGY IN,Cash,-1,114.1,,0.01,,114.09,08/16/2022
 08/11/2022, YOU SOLD VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,-1,388.36,,0.01,,388.35,08/15/2022
 08/11/2022, YOU SOLD MICROSOFT CORP (MSFT) (Cash), MSFT, MICROSOFT CORP,Cash,-1,290.41,,0.01,,290.4,08/15/2022
 08/11/2022, YOU SOLD ISHARES TRUST CORE DIVID GWTH (DGRO) (Cash), DGRO, ISHARES TRUST CORE DIVID GWTH,Cash,-1,51.91,,0.01,,51.9,08/15/2022
 08/11/2022, YOU SOLD FIDELITY MSCI ENERGY INDEX ETF (FENY) (Cash), FENY, FIDELITY MSCI ENERGY INDEX ETF,Cash,-1,21.22,,0.01,,21.21,08/15/2022
 08/10/2022, YOU SOLD VANGUARD INDEX FUNDS S&P 500 ETF USD (VOO) (Cash), VOO, VANGUARD INDEX FUNDS S&P 500 ETF USD,Cash,-1,385.81,,0.01,,385.8,08/12/2022
 08/10/2022, YOU SOLD ISHARES TRUST CORE DIVID GWTH (DGRO) (Cash), DGRO, ISHARES TRUST CORE DIVID GWTH,Cash,-1,51.46,,0.01,,51.45,08/12/2022
 08/10/2022, YOU SOLD ISHARES S&P 500 GROWTH ETF (IVW) (Cash), IVW, ISHARES S&P 500 GROWTH ETF,Cash,-1,69.39,,0.01,,69.38,08/12/2022





"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC, 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC. Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

"Date downloaded" 09/09/2022, 1:10 PM
